Symbol,Sector,Current_Price,Accumulation_Score,Bullish_Probability,Volume_Accumulation,Consolidation_Periods,Technical_Signals,Breakout_Signals,Current_RSI,Price_vs_200MA,Volume_Ratio,Bullish_Engulfing,Bearish_Engulfing,Hammer_Pattern,Doji_Pattern,Data_Years
INDOSTAR.NS,UNKNOWN,313.95001220703125,0.606,0.5,0.354,0,22,7,52.49,46.69,1.07,10,20,11,45,7.2
UBL.NS,UNKNOWN,2023.699951171875,0.731,0.5,0.37,3,24,31,50.55,17.58,0.74,43,46,14,124,17.0
ABCAPITAL.NS,UNKNOWN,269.0,0.641,0.25,0.469,0,17,14,75.89,63.19,0.31,8,39,6,53,7.9
BHARTIARTL.NS,UNKNOWN,1913.9000244140625,0.723,0.5,0.477,2,19,50,60.97,77.74,0.58,52,62,24,107,20.1
ASAHIINDIA.NS,UNKNOWN,873.0499877929688,0.628,0.5,0.427,0,40,43,69.0,52.35,0.8,47,56,25,122,20.1
IFBIND.NS,UNKNOWN,1497.5999755859375,0.618,0.5,0.395,0,28,60,52.27,25.9,0.32,38,59,13,125,20.1
ADANIGREEN.NS,UNKNOWN,1050.0999755859375,0.623,0.25,0.409,0,11,35,51.31,-29.98,0.71,14,22,8,46,7.1
HUDCO.NS,UNKNOWN,229.24000549316406,0.6,0.5,0.332,0,15,23,52.45,94.68,0.38,6,22,7,46,8.2
BLUEDART.NS,UNKNOWN,6891.0,0.655,0.25,0.382,1,33,53,55.05,-0.85,0.54,46,55,20,130,20.1
GSPL.NS,UNKNOWN,335.79998779296875,0.619,0.5,0.397,0,23,43,52.95,13.62,0.35,46,71,12,133,19.5
PIIND.NS,UNKNOWN,4135.7998046875,0.684,0.5,0.48,1,11,43,61.18,20.77,0.43,39,40,16,81,14.2
IDBI.NS,UNKNOWN,97.58235168457031,0.619,0.5,0.398,0,42,41,61.37,57.0,0.64,42,68,19,114,20.1
GAIL.NS,ENERGY,185.2899932861328,0.664,0.5,0.413,1,21,43,50.46,40.02,0.63,42,80,20,113,20.1
PVRINOX.NS,UNKNOWN,976.1500244140625,0.316,0.25,0.32,2,7,0,43.56,0.0,0.88,8,10,2,13,2.7
MANAPPURAM.NS,UNKNOWN,270.70001220703125,0.628,0.5,0.426,0,32,44,67.07,77.0,0.33,25,51,7,82,15.1
OFSS.NS,ITSERVICES,8745.0,0.835,0.5,0.451,8,27,54,49.15,58.08,0.42,41,65,13,134,20.1
CCL.NS,UNKNOWN,888.5999755859375,0.624,0.5,0.414,0,26,65,67.15,56.55,0.14,43,70,15,124,20.1
HATHWAY.NS,UNKNOWN,16.520000457763672,0.591,0.5,0.303,0,26,15,56.72,-9.81,5.27,25,54,17,117,15.5
AUROPHARMA.NS,PHARMA,1154.199951171875,0.617,0.5,0.39,0,35,90,48.22,31.26,0.49,48,70,26,112,20.1
HINDPETRO.NS,ENERGY,440.0,0.628,0.5,0.428,0,29,60,63.46,80.13,0.73,44,76,14,111,20.1
BANDHANBNK.NS,BANKING,185.19000244140625,0.322,0.25,0.406,0,14,0,60.39,-18.55,0.95,15,19,10,25,7.3
APOLLOHOSP.NS,UNKNOWN,7350.5,0.793,0.5,0.443,4,22,45,58.88,35.56,1.03,38,81,22,119,20.1
ADANIENT.NS,UNKNOWN,2616.60009765625,0.618,0.5,0.393,0,26,110,56.1,2.53,0.5,52,64,17,120,20.1
EQUITAS.NS,UNKNOWN,119.5999984741211,0.507,0.5,0.423,0,13,3,55.15,26.41,0.55,10,24,10,37,6.8
GHCL.NS,UNKNOWN,597.5296020507812,0.644,0.5,0.346,1,29,43,48.73,12.13,1.1,32,77,16,129,20.1
SAIL.NS,METALS,133.60000610351562,0.646,0.5,0.355,1,43,50,60.07,29.06,0.3,48,68,23,111,20.1
GRAPHITE.NS,UNKNOWN,568.2507934570312,0.611,0.5,0.37,0,44,53,62.2,25.31,1.17,41,69,15,128,20.1
PETRONET.NS,UNKNOWN,310.8999938964844,0.693,0.75,0.378,2,29,45,53.71,28.52,1.31,45,74,26,125,20.1
CLEAN.NS,UNKNOWN,1445.199951171875,0.206,0.25,0.354,1,3,0,55.19,-7.22,0.71,9,15,4,16,4.0
INFY.NS,TECH,1583.5,0.819,0.5,0.395,11,23,56,46.76,3.32,0.83,39,56,19,122,20.1
HAVELLS.NS,UNKNOWN,1532.5999755859375,0.745,0.5,0.416,3,23,72,46.46,9.31,0.83,48,68,21,141,20.1
GMMPFAUDLR.NS,UNKNOWN,1325.699951171875,0.637,0.25,0.39,1,9,18,68.32,-9.45,0.49,11,27,8,37,7.4
LAURUSLABS.NS,UNKNOWN,821.5,0.639,0.25,0.462,0,11,33,76.23,73.5,0.97,19,24,12,41,8.6
KEI.NS,UNKNOWN,3933.300048828125,0.625,0.5,0.416,0,41,64,58.2,55.1,0.63,26,63,13,99,19.4
HSCL.NS,UNKNOWN,517.7000122070312,0.619,0.75,0.398,0,32,53,56.7,106.61,1.39,41,57,15,125,18.5
AIROLAM.NS,UNKNOWN,115.62999725341797,0.523,0.5,0.411,0,5,11,57.13,13.2,0.27,10,13,14,49,7.8
CHENNPETRO.NS,UNKNOWN,747.25,0.62,0.5,0.401,0,56,43,60.23,60.73,0.45,35,66,19,114,20.1
ALKYLAMINE.NS,UNKNOWN,2324.0,0.673,0.5,0.444,1,17,65,68.36,-5.02,0.48,40,37,19,144,17.7
SIEMENS.NS,UNKNOWN,3110.300048828125,0.827,0.25,0.425,5,31,52,32.29,-22.39,0.8,35,75,34,114,20.1
GUJALKALI.NS,UNKNOWN,594.0999755859375,0.661,0.25,0.404,1,35,40,45.29,-17.13,0.24,44,69,17,118,20.1
BAJAJFINSV.NS,UNKNOWN,2026.5,0.806,0.5,0.487,4,51,60,59.07,24.71,0.29,43,61,25,108,20.1
FEDERALBNK.NS,BANKING,212.58999633789062,0.724,0.5,0.479,2,32,49,60.62,48.24,0.61,37,62,26,130,20.1
LUPIN.NS,PHARMA,1955.699951171875,0.822,0.5,0.407,5,26,78,47.18,54.77,0.55,45,71,28,113,20.1
JSL.NS,UNKNOWN,678.8499755859375,0.604,0.5,0.347,0,38,57,54.21,59.31,0.5,41,69,12,138,20.1
CROMPTON.NS,UNKNOWN,349.6000061035156,0.608,0.25,0.36,0,13,15,49.21,-0.87,0.88,20,28,9,60,9.2
JHS.NS,UNKNOWN,13.039999961853027,0.634,0.25,0.313,1,41,36,39.43,-40.35,1.04,37,47,11,118,18.8
JAICORPLTD.NS,UNKNOWN,111.95999908447266,0.607,0.25,0.355,0,47,30,39.35,-44.78,0.48,34,63,16,121,20.1
ASHOKLEY.NS,AUTO,123.75,0.681,0.5,0.47,1,32,66,64.95,52.86,0.82,31,76,26,110,20.1
HDFCAMC.NS,UNKNOWN,5510.0,0.639,0.5,0.462,1,8,28,75.42,90.44,1.48,17,24,7,34,7.0
TORNTPHARM.NS,PHARMA,3504.60009765625,0.742,0.75,0.406,3,18,67,62.58,61.78,1.28,49,58,9,147,20.1
INDHOTEL.NS,UNKNOWN,753.9500122070312,0.63,0.5,0.434,0,34,56,49.2,66.03,0.62,44,67,17,129,20.1
ELGIEQUIP.NS,UNKNOWN,551.3999633789062,0.607,0.5,0.358,0,24,53,56.27,13.66,0.24,48,67,16,155,20.1
J&KBANK.NS,UNKNOWN,113.83000183105469,0.644,0.5,0.346,1,46,36,59.16,49.66,0.91,32,57,22,108,20.1
CASTROLIND.NS,UNKNOWN,223.6699981689453,0.799,0.75,0.332,8,34,36,56.96,46.44,1.3,46,63,15,107,20.1
COALINDIA.NS,METALS,385.8999938964844,0.764,0.5,0.346,4,14,27,46.39,38.28,0.62,16,50,15,69,14.8
LT.NS,UNKNOWN,3474.0,0.791,0.5,0.436,4,24,61,49.51,29.73,0.71,34,71,22,103,20.1
AGARIND.NS,UNKNOWN,934.4500122070312,0.618,0.5,0.394,0,21,40,43.42,17.4,0.52,15,31,8,52,11.2
ABFRL.NS,UNKNOWN,75.72000122070312,0.605,0.5,0.35,0,25,22,20.25,-70.58,0.56,35,31,7,82,12.1
ADVENZYMES.NS,UNKNOWN,327.45001220703125,0.572,0.5,0.373,0,8,18,53.31,2.49,0.62,11,34,5,66,9.0
LICHSGFIN.NS,UNKNOWN,638.25,0.655,0.75,0.384,1,29,64,58.4,33.07,1.35,29,83,23,98,20.1
JAGRAN.NS,UNKNOWN,71.95999908447266,0.615,0.5,0.384,0,35,30,51.73,1.71,0.5,39,72,18,150,19.5
ZEEL.NS,UNKNOWN,142.33999633789062,0.658,0.25,0.394,1,25,32,60.0,-30.45,0.9,32,77,26,136,20.1
BOSCHLTD.NS,UNKNOWN,38645.0,0.828,0.5,0.428,7,26,40,75.86,70.6,1.62,44,63,20,127,20.1
BLISSGVS.NS,UNKNOWN,156.55999755859375,0.611,0.5,0.37,0,23,27,60.1,52.01,0.44,26,60,12,83,15.0
IDEA.NS,UNKNOWN,7.760000228881836,0.602,0.25,0.342,0,44,22,50.59,-23.97,0.95,32,58,16,96,18.4
VEDL.NS,METALS,444.3500061035156,0.669,0.5,0.429,1,24,60,52.91,58.46,0.39,45,68,30,110,20.1
CANFINHOME.NS,UNKNOWN,818.7000122070312,0.615,0.5,0.384,0,24,73,61.59,22.24,0.31,41,57,23,137,20.1
FORTIS.NS,UNKNOWN,810.25,0.664,0.5,0.415,1,21,33,65.5,100.87,0.64,45,46,13,117,18.3
ALLCARGO.NS,UNKNOWN,37.36000061035156,0.607,0.5,0.356,0,35,26,52.13,-46.08,1.95,44,65,21,137,19.2
EASEMYTRIP.NS,UNKNOWN,10.720000267028809,0.404,0.25,0.346,0,3,4,36.68,-46.82,0.48,3,17,4,20,4.4
ASTERDM.NS,UNKNOWN,594.3499755859375,0.631,0.5,0.436,0,12,13,63.01,83.6,0.46,18,28,10,53,7.4
BALRAMCHIN.NS,UNKNOWN,615.2000122070312,0.615,0.5,0.383,0,39,54,61.73,43.84,0.58,32,65,20,121,20.1
JKPAPER.NS,UNKNOWN,394.70001220703125,0.608,0.5,0.36,0,31,46,57.41,10.8,0.56,34,57,13,128,20.1
PIDILITIND.NS,CHEMICALS,2992.300048828125,0.826,0.5,0.421,5,16,63,50.3,12.31,0.57,40,50,18,140,20.1
IPCALAB.NS,UNKNOWN,1474.0999755859375,0.656,0.5,0.386,1,31,64,54.73,33.51,0.69,50,75,15,154,20.1
TATASTEEL.NS,METALS,159.89999389648438,0.664,0.5,0.413,1,37,59,59.96,30.25,0.43,44,61,24,102,20.1
CERA.NS,UNKNOWN,7052.5,0.617,0.75,0.389,0,14,56,58.84,9.99,2.31,42,48,18,119,17.8
UPL.NS,CHEMICALS,692.6500244140625,0.67,0.5,0.435,1,27,47,62.87,8.47,1.09,55,74,33,113,20.1
RAMCOCEM.NS,UNKNOWN,1177.199951171875,0.717,0.5,0.457,2,25,48,71.41,38.5,0.65,49,46,21,105,20.1
TATACONSUM.NS,FMCG,1105.800048828125,0.742,0.5,0.408,3,27,62,54.24,22.88,0.62,42,71,15,118,20.1
360ONE.NS,UNKNOWN,1205.5999755859375,0.483,0.5,0.408,0,3,14,62.37,90.55,0.38,9,31,2,44,5.9
EMAMILTD.NS,UNKNOWN,588.4500122070312,0.638,0.5,0.461,0,26,46,48.81,15.3,0.82,40,65,21,121,19.0
BSOFT.NS,UNKNOWN,428.25,0.632,0.25,0.441,0,35,74,46.83,-7.74,0.48,33,73,25,113,20.1
COLPAL.NS,FMCG,2398.0,0.822,0.5,0.407,6,19,56,42.54,16.26,0.96,43,74,19,142,20.1
BATAINDIA.NS,UNKNOWN,1229.0,0.654,0.25,0.38,1,25,59,44.98,-21.29,0.97,39,60,23,126,20.1
FORCEMOT.NS,UNKNOWN,16842.0,0.596,0.25,0.452,0,8,33,83.6,294.59,0.89,11,16,4,33,5.8
HEG.NS,UNKNOWN,550.4500122070312,0.605,0.5,0.351,0,42,65,63.1,61.1,1.17,48,68,15,134,20.1
SBICARD.NS,UNKNOWN,908.7999877929688,0.49,0.5,0.367,1,5,4,54.04,12.13,1.12,12,23,6,26,5.4
HEROMOTOCO.NS,AUTO,4443.60009765625,0.826,0.5,0.419,7,20,53,58.73,32.48,1.05,49,61,40,108,20.1
CRISIL.NS,UNKNOWN,5934.5,0.704,0.5,0.413,2,21,42,68.17,53.8,0.4,32,60,19,128,20.1
EICHERMOT.NS,AUTO,5650.0,0.71,0.5,0.435,2,25,79,59.38,50.03,0.86,47,71,24,118,20.1
RECLTD.NS,UNKNOWN,401.20001220703125,0.623,0.5,0.411,0,22,72,44.89,49.91,0.46,33,59,19,81,17.4
GSFC.NS,CHEMICALS,203.3800048828125,0.617,0.5,0.39,0,24,48,52.65,19.57,0.43,33,75,15,119,20.1
PNB.NS,BANKING,113.79000091552734,0.632,0.5,0.438,0,38,40,63.85,60.8,0.84,38,70,29,116,20.1
RELIANCE.NS,ENERGY,1476.4000244140625,0.826,0.5,0.42,10,20,60,60.29,18.05,0.72,44,67,22,107,20.1
HINDUNILVR.NS,FMCG,2509.800048828125,0.824,0.5,0.412,9,16,49,62.26,5.32,0.71,37,71,20,113,20.1
TATAPOWER.NS,ENERGY,413.45001220703125,0.772,0.5,0.372,4,33,45,57.55,39.4,0.96,38,69,17,111,20.1
HAL.NS,REALTY,4789.2998046875,0.619,0.5,0.463,0,9,37,57.09,96.58,0.29,12,28,4,41,7.3
GUJGASLTD.NS,UNKNOWN,477.0,0.612,0.25,0.372,1,8,28,52.84,-6.03,0.33,20,38,6,80,9.9
DHANI.NS,UNKNOWN,65.1500015258789,0.615,0.5,0.383,0,56,65,50.2,2.6,0.47,32,74,19,91,20.1
KAJARIACER.NS,UNKNOWN,1228.9000244140625,0.636,0.5,0.452,0,37,82,70.15,5.71,1.31,54,65,21,132,20.1
TCS.NS,TECH,3198.345703125,0.814,0.25,0.379,9,13,68,34.06,-9.12,0.97,38,62,27,110,20.1
AARTIIND.NS,UNKNOWN,456.29998779296875,0.623,0.25,0.409,0,25,69,50.65,-28.55,0.47,42,63,24,113,20.1
ACC.NS,UNKNOWN,1978.800048828125,0.831,0.25,0.437,6,29,37,51.01,-7.93,0.56,44,55,26,104,20.1
BHARATFORG.NS,UNKNOWN,1224.800048828125,0.622,0.5,0.406,0,28,66,50.17,21.12,0.52,44,73,19,109,20.1
CANBK.NS,UNKNOWN,115.52999877929688,0.643,0.5,0.477,0,29,44,66.98,62.56,0.86,45,69,22,110,20.1
INDIAMART.NS,UNKNOWN,2626.699951171875,0.605,0.75,0.484,0,8,7,65.39,1.45,1.76,11,21,9,34,6.1
MUTHOOTFIN.NS,UNKNOWN,2660.0,0.678,0.5,0.459,1,15,45,68.32,81.27,0.28,33,39,14,88,14.3
JMFINANCIL.NS,UNKNOWN,169.25,0.643,0.25,0.478,0,25,46,77.57,100.26,0.73,26,77,17,116,18.8
BPCL.NS,ENERGY,346.75,0.706,0.5,0.42,2,25,47,70.0,61.53,0.53,36,62,26,100,20.1
DIXON.NS,UNKNOWN,16107.0,0.637,0.5,0.457,0,13,63,57.12,111.32,0.71,14,28,10,40,7.9
MPHASIS.NS,TECH,2844.0,0.63,0.5,0.433,0,28,57,59.13,18.5,0.5,50,66,21,146,20.1
BIOCON.NS,PHARMA,397.0,0.657,0.75,0.389,1,26,50,63.69,30.12,1.96,38,79,19,117,20.1
ALEMBICLTD.NS,UNKNOWN,119.4800033569336,0.606,0.5,0.354,0,34,43,56.41,31.13,0.76,33,66,16,117,20.1
